code,day,night,icon,emoji
1000,Sunny,Clear,113,:sunny:
1003,"Partly cloudy","Partly cloudy",116,:sun_behind_cloud:
1006,Cloudy,Cloudy,119,:cloud:
1009,Overcast,Overcast,122,:cloud:
1030,Mist,Mist,143,:fog:
1063,"Patchy rain possible","Patchy rain possible",176,:rain_cloud:
1066,"Patchy snow possible","Patchy snow possible",179,:snow_cloud:
1069,"Patchy sleet possible","Patchy sleet possible",182,:snow_cloud:
1072,"Patchy freezing drizzle possible","Patchy freezing drizzle possible",185,:rain_cloud:
1087,"Thundery outbreaks possible","Thundery outbreaks possible",200,:thunder_cloud_and_rain:
1114,"Blowing snow","Blowing snow",227,:snow_cloud:
1117,Blizzard,Blizzard,230,:snow_cloud:
1135,Fog,Fog,248,:fog:
1147,"Freezing fog","Freezing fog",260,:fog:
1150,"Patchy light drizzle","Patchy light drizzle",263,:rain_cloud:
1153,"Light drizzle","Light drizzle",266,:rain_cloud:
1168,"Freezing drizzle","Freezing drizzle",281,:rain_cloud:
1171,"Heavy freezing drizzle","Heavy freezing drizzle",284,:rain_cloud:
1180,"Patchy light rain","Patchy light rain",293,:rain_cloud:
1183,"Light rain","Light rain",296,:rain_cloud:
1186,"Moderate rain at times","Moderate rain at times",299,:rain_cloud:
1189,"Moderate rain","Moderate rain",302,:rain_cloud:
1192,"Heavy rain at times","Heavy rain at times",305,:rain_cloud:
1195,"Heavy rain","Heavy rain",308,:rain_cloud:
1198,"Light freezing rain","Light freezing rain",311,:rain_cloud:
1201,"Moderate or heavy freezing rain","Moderate or heavy freezing rain",314,:rain_cloud:
1204,"Light sleet","Light sleet",317,:snow_cloud:
1207,"Moderate or heavy sleet","Moderate or heavy sleet",320,:snow_cloud:
1210,"Patchy light snow","Patchy light snow",323,:snow_cloud:
1213,"Light snow","Light snow",326,:snow_cloud:
1216,"Patchy moderate snow","Patchy moderate snow",329,:snow_cloud:
1219,"Moderate snow","Moderate snow",332,:snow_cloud:
1222,"Patchy heavy snow","Patchy heavy snow",335,:snow_cloud:
1225,"Heavy snow","Heavy snow",338,:snow_cloud:
1237,"Ice pellets","Ice pellets",350,:snow_cloud:
1240,"Light rain shower","Light rain shower",353,:rain_cloud:
1243,"Moderate or heavy rain shower","Moderate or heavy rain shower",356,:rain_cloud:
1246,"Torrential rain shower","Torrential rain shower",359,:rain_cloud:
1249,"Light sleet showers","Light sleet showers",362,:snow_cloud:
1252,"Moderate or heavy sleet showers","Moderate or heavy sleet showers",365,:snow_cloud:
1255,"Light snow showers","Light snow showers",368,:snow_cloud:
1258,"Moderate or heavy snow showers","Moderate or heavy snow showers",371,:snow_cloud:
1261,"Light showers of ice pellets","Light showers of ice pellets",374,:snow_cloud:
1264,"Moderate or heavy showers of ice pellets","Moderate or heavy showers of ice pellets",377,:snow_cloud:
1273,"Patchy light rain with thunder","Patchy light rain with thunder",386,:thunder_cloud_and_rain:
1276,"Moderate or heavy rain with thunder","Moderate or heavy rain with thunder",389,:thunder_cloud_and_rain:
1279,"Patchy light snow with thunder","Patchy light snow with thunder",392,:thunder_cloud_and_rain:
1282,"Moderate or heavy snow with thunder","Moderate or heavy snow with thunder",395,:thunder_cloud_and_rain:
